Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint,P_up,CrowdRisk,HeuristicScore,AgentsScore,AgentsConf
AMAT,2025-09-16 00:00:00-04:00,172.58999633789062,174.10000610351562,171.5800018310547,173.5399932861328,6444065.0,3.4207330929574065,70.95183756613258,83.69130094164272,75.71436229762168,0.01400735484546758,0.9033742418905228,3.9549996512276784,3.6780456678860762,1,0.55,0.0,0.5184877054831746,,
ADBE,2025-09-16 00:00:00-04:00,350.1549987792969,356.94000244140625,348.3172912597656,352.7300109863281,6683180.0,0.9646283993784754,73.90361590919738,42.48595675127674,67.31986864115937,-0.0032950513005722383,1.4310252828356107,11.034487043108259,-12.771892551787634,1,0.55,0.0,0.6035497406151417,,
QCOM,2025-09-16 00:00:00-04:00,161.80999755859375,165.0,161.5,164.13999938964844,7992367.0,1.4274223150570808,50.0,50.0,60.0,0.00486575867123149,1.1394124683822036,3.473452386112675,6.552799312927005,1,0.55,0.0,0.5829342221277811,,
TXN,2025-09-16 00:00:00-04:00,178.7899932861328,181.13999938964844,177.27999877929688,177.6300048828125,7917325.0,-0.31986087272225516,0.0,4.816019538130703,11.0,-0.008090541966157527,1.1546345821612487,4.875716073172433,-4.252931809408933,1,0.55,0.0,0.6428499753842403,,
IBM,2025-09-16 00:00:00-04:00,256.260009765625,257.92999267578125,254.41000366210938,257.5199890136719,2046708.0,0.49953123168873237,50.0,54.113009198423136,54.44440011967688,-0.0011895021696822327,0.54027434225083,4.917853219168527,3.853719662124977,1,0.55,0.0,0.56254378338308,,
MU,2025-09-16 00:00:00-04:00,158.08749389648438,159.55999755859375,157.1649932861328,158.82000732421875,16630261.0,1.0112647967217336,50.0,50.0,52.333333333333336,0.03875903360018591,0.847254917154353,5.580357142857143,55.98626006688294,1,0.55,0.0,0.5781078693510927,,
SHOP,2025-09-16 00:00:00-04:00,149.08999633789062,150.1699981689453,145.2100067138672,147.2100067138672,5449195.0,2.671224508734693,69.89059885224859,69.73823595672576,70.71482398219624,0.0015159369723705574,0.9742022194621708,4.411641802106585,30.347129176258214,1,0.55,0.0,0.5400530505849631,,
PLTR,2025-09-16 00:00:00-04:00,171.1699981689453,171.3000030517578,168.9600067138672,170.25999450683594,34359912.0,-0.6824932736000822,85.80097626736986,76.33331298828125,49.524153534331816,0.01779923644297472,0.4464488286876944,6.367710658482143,49.40224570421332,1,0.55,0.0,0.5167963276904807,,
UBER,2025-09-16 00:00:00-04:00,99.41999816894531,99.69999694824219,97.0199966430664,97.83000183105469,17218646.0,-1.0318630842806154,74.37191613024426,81.97884526471726,42.11562194817788,0.005065547763547595,1.113312990346009,2.71857179914202,22.408457039198826,1,0.55,0.0,0.5224182262398267,,
ABNB,2025-09-16 00:00:00-04:00,120.70999908447266,121.98999786376953,119.76499938964844,121.66000366210938,5070782.0,1.071696341357753,37.17580581328877,29.79215635142421,64.73600051832646,-0.003456580620632832,1.1114519963717457,2.5885707310267856,-7.039593592690663,1,0.55,0.0,0.6225410298059676,,
PYPL,2025-09-16 00:00:00-04:00,66.76000213623047,67.13999938964844,66.1050033569336,66.8499984741211,9331513.0,-0.05980104035332445,0.0,39.8532692637721,41.1707462308846,-0.004416532126652361,1.0055319373184493,1.510641370500837,-10.177158834283784,1,0.55,0.0,0.6002716042550252,,
BABA,2025-09-16 00:00:00-04:00,158.36000061035156,163.0,157.60000610351562,162.2100067138672,25914357.0,4.611124253740306,94.95346381971561,84.01615326641279,81.33472617693815,0.028774150274714638,1.1497007985263907,6.269931248256138,42.97666723550619,0,0.55,0.0,0.4938572404787693,,
T,2025-09-16 00:00:00-04:00,29.6200008392334,29.645000457763672,29.204999923706055,29.329999923706055,28043486.0,-0.8116326465846146,25.0,44.57829110346127,34.21856385722996,0.0030086280840801337,0.9656108192787424,0.5592855725969587,12.264471336377781,1,0.55,0.0,0.5902458930211748,,
VZ,2025-09-16 00:00:00-04:00,43.869998931884766,43.94499969482422,43.29999923706055,43.7400016784668,11720006.0,-0.5230828652514008,0.0,57.52225534313907,31.301604601877084,0.0019597336878384385,0.7079198364309773,0.6607142857142857,4.9652202998190065,1,0.55,0.0,0.5591726780529767,,
SPY,2025-09-16 00:00:00-04:00,661.469970703125,661.780029296875,659.2100219726562,660.0,56731221.0,0.3939743784354466,92.16985230234579,97.82363275236503,61.96596979652579,0.0034236084622873753,0.8476687721453604,4.897857666015625,10.899814975705514,1,0.55,0.0,0.5170560836967759,,
QQQ,2025-09-16 00:00:00-04:00,592.6099853515625,592.8599853515625,590.489990234375,591.1799926757812,36204005.0,0.7704666652170733,50.0,50.0,58.333333333333336,0.004220559580558181,0.7437482968674286,5.957144601004464,13.394188629270598,1,0.55,0.0,0.5750015827247654,,
IWM,2025-09-16 00:00:00-04:00,238.4499969482422,238.92999267578125,236.75999450683594,238.27999877929688,36843953.0,-0.025173097052788584,0.0,59.78103408687666,35.14175658038493,7.322503210960285e-05,1.1132273136253485,2.9235687255859375,10.32431658448083,1,0.55,0.0,0.562704674849717,,
LCID,2025-09-16 00:00:00-04:00,19.809999465942383,20.399999618530273,19.625,19.719999313354492,6873155.0,2.308688475388676,41.588768387202585,60.44303606458428,53.05009806854826,0.013887887037112034,0.5645494165807414,1.3057141985212053,-20.08073240048036,0,0.55,0.0,0.5208215528135597,,
RIVN,2025-09-16 00:00:00-04:00,13.774999618530273,14.649999618530273,13.73009967803955,14.319999694824219,62268158.0,5.294112449698951,50.0,64.33565594105627,69.92456760379679,0.0057993870470933965,1.2110527541802594,0.7728570529392788,9.181290471471094,1,0.55,0.0,0.5557237248129056,,
SOFI,2025-09-16 00:00:00-04:00,27.795000076293945,27.8799991607666,26.6299991607666,27.420000076293945,66988710.0,3.276839413309607,50.0,80.85110009447469,60.0,0.011158914677639898,0.9824816655073018,1.2027861731392997,66.78680015838587,1,0.55,0.0,0.5199844007504753,,
F,2025-09-16 00:00:00-04:00,11.6850004196167,11.779999732971191,11.510000228881836,11.609999656677246,52449840.0,-0.5993206050475486,0.0,60.71426746797956,33.46256120212092,-0.001244885993176581,1.094285056431065,0.21071413585117885,14.479262222204703,1,0.55,0.0,0.5604198196128669,,
GM,2025-09-16 00:00:00-04:00,58.97999954223633,59.38999938964844,58.165000915527344,58.459999084472656,6779818.0,-0.06837763338007896,0.0,59.82535660801354,42.18929701990316,0.0009635078859401957,0.9957849991949053,1.0911622082906962,15.927127192879077,1,0.55,0.0,0.5602938920044493,,
