date,n1,n2,n3,n4,n5,n6
06/05/2013,6,5,13,3,7,12
06/08/2013,6,8,13,2,7,20
06/12/2013,6,12,13,4,15,24
06/15/2013,6,15,13,2,10,23
06/19/2013,6,19,13,9,11,14
06/22/2013,6,22,13,3,4,20
06/26/2013,6,26,13,9,19,21
06/29/2013,6,29,13,4,7,22
07/03/2013,7,3,13,4,5,10
07/06/2013,7,6,13,10,12,18
07/10/2013,7,10,13,9,10,27
07/13/2013,7,13,13,2,10,17
07/17/2013,7,17,13,1,15,24
07/20/2013,7,20,13,10,22,28
07/24/2013,7,24,13,12,20,28
07/27/2013,7,27,13,1,6,15
07/31/2013,7,31,13,9,11,13
08/03/2013,8,3,13,1,5,25
08/07/2013,8,7,13,11,16,25
08/10/2013,8,10,13,7,10,14
08/14/2013,8,14,13,11,16,18
08/17/2013,8,17,13,3,6,10
08/21/2013,8,21,13,12,19,21
08/24/2013,8,24,13,4,10,16
08/28/2013,8,28,13,6,16,18
08/31/2013,8,31,13,1,5,12
09/04/2013,9,4,13,13,23,29
09/07/2013,9,7,13,2,8,14
09/11/2013,9,11,13,3,6,14
09/14/2013,9,14,13,9,12,13
09/18/2013,9,18,13,3,18,24
09/21/2013,9,21,13,1,4,23
09/25/2013,9,25,13,2,8,25
09/28/2013,9,28,13,14,15,20
10/02/2013,10,2,13,3,14,16
10/05/2013,10,5,13,4,7,16
10/09/2013,10,9,13,3,19,30
10/12/2013,10,12,13,1,2,12
10/16/2013,10,16,13,20,27,31
10/19/2013,10,19,13,12,14,20
10/23/2013,10,23,13,14,17,28
10/26/2013,10,26,13,1,3,21
10/30/2013,10,30,13,7,8,28
11/02/2013,11,2,13,1,7,12
11/06/2013,11,6,13,12,16,23
11/09/2013,11,9,13,4,7,10
11/13/2013,11,13,13,5,13,18
11/16/2013,11,16,13,14,17,25
11/20/2013,11,20,13,2,14,27
11/23/2013,11,23,13,2,8,11
11/27/2013,11,27,13,4,17,18
11/30/2013,11,30,13,3,8,10
12/04/2013,12,4,13,11,14,22
12/07/2013,12,7,13,21,26,27
12/11/2013,12,11,13,6,13,17
12/14/2013,12,14,13,2,14,17
12/18/2013,12,18,13,13,19,32
12/21/2013,12,21,13,7,16,17
12/28/2013,12,28,13,4,8,11
