n1,n2,n3,n4,n5,s1,draw_date,lucky_ball,white1,white2,white3,white4,white5,special
,,,,,,2017-12-28,,12,28,17,4,21,29
,,,,,,2018-01-01,,1,1,18,15,18,25
,,,,,,2018-01-04,,1,4,18,11,12,19
,,,,,,2018-01-08,,1,8,18,1,3,15
,,,,,,2018-01-11,,1,11,18,8,12,15
,,,,,,2018-01-15,,1,15,18,11,15,32
,,,,,,2018-01-18,,1,18,18,5,15,21
,,,,,,2018-01-22,,1,22,18,5,13,26
,,,,,,2018-01-25,,1,25,18,8,9,31
,,,,,,2018-01-29,,1,29,18,1,4,6
,,,,,,2018-02-01,,2,1,18,3,13,21
,,,,,,2018-02-05,,2,5,18,1,2,5
,,,,,,2018-02-08,,2,8,18,4,10,13
,,,,,,2018-02-12,,2,12,18,7,11,33
,,,,,,2018-02-15,,2,15,18,1,11,36
,,,,,,2018-02-19,,2,19,18,2,14,41
,,,,,,2018-02-22,,2,22,18,6,23,32
,,,,,,2018-02-26,,2,26,18,6,11,16
,,,,,,2018-03-01,,3,1,18,7,10,26
,,,,,,2018-03-05,,3,5,18,5,17,23
,,,,,,2018-03-08,,3,8,18,20,24,26
,,,,,,2018-03-12,,3,12,18,1,8,20
,,,,,,2018-03-15,,3,15,18,10,16,17
,,,,,,2018-03-19,,3,19,18,17,26,31
,,,,,,2018-03-22,,3,22,18,9,17,27
,,,,,,2018-03-26,,3,26,18,3,4,15
,,,,,,2018-03-29,,3,29,18,16,19,31
,,,,,,2018-04-02,,4,2,18,2,6,11
,,,,,,2018-04-05,,4,5,18,2,10,12
,,,,,,2018-04-09,,4,9,18,9,13,20
,,,,,,2018-04-12,,4,12,18,5,20,33
,,,,,,2018-04-16,,4,16,18,9,11,26
,,,,,,2018-04-19,,4,19,18,16,19,35
,,,,,,2018-04-23,,4,23,18,7,12,20
,,,,,,2018-04-26,,4,26,18,20,21,27
,,,,,,2018-04-30,,4,30,18,1,10,13
,,,,,,2018-05-03,,5,3,18,5,22,26
,,,,,,2018-05-07,,5,7,18,2,5,6
,,,,,,2018-05-10,,5,10,18,17,35,46
,,,,,,2018-05-14,,5,14,18,11,26,33
,,,,,,2018-05-17,,5,17,18,6,7,14
,,,,,,2018-05-21,,5,21,18,4,12,31
,,,,,,2018-05-24,,5,24,18,18,32,38
,,,,,,2018-05-28,,5,28,18,4,6,13
,,,,,,2018-05-31,,5,31,18,16,34,41
,,,,,,2018-06-04,,6,4,18,1,5,20
,,,,,,2018-06-07,,6,7,18,2,9,27
,,,,,,2018-06-11,,6,11,18,4,5,25
,,,,,,2018-06-14,,6,14,18,7,13,33
,,,,,,2018-06-18,,6,18,18,1,22,27
,,,,,,2018-06-21,,6,21,18,3,6,25
,,,,,,2018-06-25,,6,25,18,3,31,42
,,,,,,2018-06-28,,6,28,18,3,23,27
,,,,,,2018-07-02,,7,2,18,13,18,27
,,,,,,2018-07-05,,7,5,18,12,16,31
,,,,,,2018-07-09,,7,9,18,18,24,43
,,,,,,2018-07-12,,7,12,18,4,8,14
,,,,,,2018-07-16,,7,16,18,14,17,18
,,,,,,2018-07-19,,7,19,18,14,27,29
,,,,,,2018-07-23,,7,23,18,1,5,11
,,,,,,2018-07-26,,7,26,18,9,10,14
,,,,,,2018-07-30,,7,30,18,8,15,34
,,,,,,2018-08-02,,8,2,18,9,16,17
,,,,,,2018-08-06,,8,6,18,5,7,13
,,,,,,2018-08-09,,8,9,18,13,25,30
,,,,,,2018-08-13,,8,13,18,1,15,22
,,,,,,2018-08-16,,8,16,18,8,39,42
,,,,,,2018-08-20,,8,20,18,4,16,36
,,,,,,2018-08-23,,8,23,18,6,10,28
,,,,,,2018-08-27,,8,27,18,6,8,12
,,,,,,2018-08-30,,8,30,18,16,20,32
,,,,,,2018-09-03,,9,3,18,27,40,43
,,,,,,2018-09-06,,9,6,18,14,27,29
,,,,,,2018-09-10,,9,10,18,1,11,13
,,,,,,2018-09-13,,9,13,18,6,12,23
,,,,,,2018-09-17,,9,17,18,3,5,6
,,,,,,2018-09-20,,9,20,18,8,10,17
,,,,,,2018-09-24,,9,24,18,9,16,21
,,,,,,2018-09-27,,9,27,18,5,9,29
,,,,,,2018-10-01,,10,1,18,8,10,13
,,,,,,2018-10-04,,10,4,18,1,10,15
,,,,,,2018-10-08,,10,8,18,5,34,35
,,,,,,2018-10-11,,10,11,18,10,18,33
,,,,,,2018-10-15,,10,15,18,1,30,39
,,,,,,2018-10-18,,10,18,18,4,21,24
,,,,,,2018-10-22,,10,22,18,7,36,37
,,,,,,2018-10-25,,10,25,18,12,20,22
,,,,,,2018-10-29,,10,29,18,14,16,26
,,,,,,2018-11-01,,11,1,18,4,13,31
,,,,,,2018-11-05,,11,5,18,8,18,28
,,,,,,2018-11-08,,11,8,18,10,16,38
,,,,,,2018-11-12,,11,12,18,2,4,9
,,,,,,2018-11-15,,11,15,18,14,28,29
,,,,,,2018-11-19,,11,19,18,1,14,15
,,,,,,2018-11-22,,11,22,18,8,18,38
,,,,,,2018-11-26,,11,26,18,10,23,29
,,,,,,2018-11-29,,11,29,18,1,4,11
,,,,,,2018-12-03,,12,3,18,7,8,28
,,,,,,2018-12-06,,12,6,18,5,14,26
,,,,,,2018-12-10,,12,10,18,16,20,26
,,,,,,2018-12-13,,12,13,18,15,31,38
,,,,,,2018-12-17,,12,17,18,4,8,31
,,,,,,2018-12-20,,12,20,18,8,21,26
,,,,,,2018-12-24,,12,24,18,2,9,14
,,,,,,2018-12-27,,12,27,18,9,16,32
,,,,,,2018-12-31,,12,31,18,4,10,15
,,,,,,2019-01-03,,1,3,19,2,4,17
,,,,,,2019-01-07,,1,7,19,18,31,34
,,,,,,2019-01-10,,1,10,19,9,13,21
,,,,,,2019-01-14,,1,14,19,11,13,18
,,,,,,2019-01-17,,1,17,19,9,22,27
,,,,,,2019-01-21,,1,21,19,2,16,40
,,,,,,2019-01-24,,1,24,19,21,29,30
,,,,,,2019-01-28,,1,28,19,6,12,30
,,,,,,2019-01-31,,1,31,19,4,6,10
,,,,,,2019-02-04,,2,4,19,14,24,30
,,,,,,2019-02-07,,2,7,19,18,23,29
,,,,,,2019-02-11,,2,11,19,3,5,10
,,,,,,2019-02-14,,2,14,19,24,26,32
,,,,,,2019-02-18,,2,18,19,1,8,15
,,,,,,2019-02-21,,2,21,19,15,21,23
,,,,,,2019-02-25,,2,25,19,24,26,31
,,,,,,2019-02-28,,2,28,19,4,7,10
,,,,,,2019-03-04,,3,4,19,4,12,28
,,,,,,2019-03-07,,3,7,19,5,8,29
,,,,,,2019-03-11,,3,11,19,19,24,30
,,,,,,2019-03-14,,3,14,19,11,12,23
,,,,,,2019-03-18,,3,18,19,3,11,24
,,,,,,2019-03-21,,3,21,19,9,24,26
,,,,,,2019-03-25,,3,25,19,7,9,14
,,,,,,2019-03-28,,3,28,19,21,31,34
,,,,,,2019-04-01,,4,1,19,9,19,22
,,,,,,2019-04-04,,4,4,19,3,4,8
,,,,,,2019-04-08,,4,8,19,17,23,34
,,,,,,2019-04-11,,4,11,19,13,17,30
,,,,,,2019-04-15,,4,15,19,4,10,20
,,,,,,2019-04-18,,4,18,19,2,10,27
,,,,,,2019-04-22,,4,22,19,1,11,20
,,,,,,2019-04-25,,4,25,19,8,18,21
,,,,,,2019-04-29,,4,29,19,7,22,28
,,,,,,2019-05-02,,5,2,19,5,7,9
,,,,,,2019-05-06,,5,6,19,13,14,26
,,,,,,2019-05-09,,5,9,19,5,7,39
,,,,,,2019-05-13,,5,13,19,6,11,13
,,,,,,2019-05-16,,5,16,19,9,18,26
,,,,,,2019-05-20,,5,20,19,26,27,29
,,,,,,2019-05-23,,5,23,19,12,23,29
,,,,,,2019-05-27,,5,27,19,15,37,43
,,,,,,2019-05-30,,5,30,19,7,17,18
,,,,,,2019-06-03,,6,3,19,3,19,24
,,,,,,2019-06-06,,6,6,19,4,22,28
,,,,,,2019-06-10,,6,10,19,26,34,39
,,,,,,2019-06-13,,6,13,19,4,5,8
,,,,,,2019-06-17,,6,17,19,3,25,29
,,,,,,2019-06-20,,6,20,19,13,30,33
,,,,,,2019-06-24,,6,24,19,3,17,21
,,,,,,2019-06-27,,6,27,19,14,16,19
,,,,,,2019-07-01,,7,1,19,11,17,22
,,,,,,2019-07-04,,7,4,19,2,7,31
,,,,,,2019-07-08,,7,8,19,11,16,18
,,,,,,2019-07-11,,7,11,19,5,19,23
,,,,,,2019-07-15,,7,15,19,3,14,18
,,,,,,2019-07-18,,7,18,19,8,13,32
,,,,,,2019-07-22,,7,22,19,5,31,33
,,,,,,2019-07-25,,7,25,19,26,29,35
,,,,,,2019-07-29,,7,29,19,5,6,16
,,,,,,2019-08-01,,8,1,19,1,19,22
,,,,,,2019-08-05,,8,5,19,20,30,37
,,,,,,2019-08-08,,8,8,19,25,28,34
,,,,,,2019-08-12,,8,12,19,2,5,14
,,,,,,2019-08-15,,8,15,19,2,11,13
,,,,,,2019-08-19,,8,19,19,8,17,26
,,,,,,2019-08-22,,8,22,19,7,9,14
,,,,,,2019-08-26,,8,26,19,9,25,30
,,,,,,2019-08-29,,8,29,19,11,24,28
,,,,,,2019-09-02,,9,2,19,6,7,22
,,,,,,2019-09-05,,9,5,19,5,20,32
,,,,,,2019-09-09,,9,9,19,8,9,17
,,,,,,2019-09-12,,9,12,19,2,16,29
,,,,,,2019-09-16,,9,16,19,11,12,22
,,,,,,2019-09-19,,9,19,19,13,21,27
,,,,,,2019-09-23,,9,23,19,4,23,25
,,,,,,2019-09-26,,9,26,19,4,11,33
,,,,,,2019-09-30,,9,30,19,3,14,45
,,,,,,2019-10-03,,10,3,19,1,13,42
,,,,,,2019-10-07,,10,7,19,13,18,31
,,,,,,2019-10-10,,10,10,19,27,30,31
,,,,,,2019-10-14,,10,14,19,12,17,19
,,,,,,2019-10-17,,10,17,19,8,9,25
,,,,,,2019-10-21,,10,21,19,9,14,15
,,,,,,2019-10-24,,10,24,19,5,13,24
,,,,,,2019-10-28,,10,28,19,11,15,18
,,,,,,2019-10-31,,10,31,19,2,31,33
,,,,,,2019-11-04,,11,4,19,28,34,42
,,,,,,2019-11-07,,11,7,19,1,10,15
,,,,,,2019-11-11,,11,11,19,3,5,22
,,,,,,2019-11-14,,11,14,19,9,11,21
,,,,,,2019-11-18,,11,18,19,15,22,28
,,,,,,2019-11-21,,11,21,19,15,17,20
