date,n1,n2,n3,n4,n5,s1
03/11/2019,3,11,19,19,24,30
03/14/2019,3,14,19,11,12,23
03/18/2019,3,18,19,3,11,24
03/21/2019,3,21,19,9,24,26
03/25/2019,3,25,19,7,9,14
03/28/2019,3,28,19,21,31,34
04/01/2019,4,1,19,9,19,22
04/04/2019,4,4,19,3,4,8
04/08/2019,4,8,19,17,23,34
04/11/2019,4,11,19,13,17,30
04/15/2019,4,15,19,4,10,20
04/18/2019,4,18,19,2,10,27
04/22/2019,4,22,19,1,11,20
04/25/2019,4,25,19,8,18,21
04/29/2019,4,29,19,7,22,28
05/02/2019,5,2,19,5,7,9
05/06/2019,5,6,19,13,14,26
05/09/2019,5,9,19,5,7,39
05/13/2019,5,13,19,6,11,13
05/16/2019,5,16,19,9,18,26
05/20/2019,5,20,19,26,27,29
05/23/2019,5,23,19,12,23,29
05/27/2019,5,27,19,15,37,43
05/30/2019,5,30,19,7,17,18
06/03/2019,6,3,19,3,19,24
06/06/2019,6,6,19,4,22,28
06/10/2019,6,10,19,26,34,39
06/13/2019,6,13,19,4,5,8
06/17/2019,6,17,19,3,25,29
06/20/2019,6,20,19,13,30,33
06/24/2019,6,24,19,3,17,21
06/27/2019,6,27,19,14,16,19
07/01/2019,7,1,19,11,17,22
07/04/2019,7,4,19,2,7,31
07/08/2019,7,8,19,11,16,18
07/11/2019,7,11,19,5,19,23
07/15/2019,7,15,19,3,14,18
07/18/2019,7,18,19,8,13,32
07/22/2019,7,22,19,5,31,33
07/25/2019,7,25,19,26,29,35
07/29/2019,7,29,19,5,6,16
08/01/2019,8,1,19,1,19,22
08/05/2019,8,5,19,20,30,37
08/08/2019,8,8,19,25,28,34
08/12/2019,8,12,19,2,5,14
08/15/2019,8,15,19,2,11,13
08/19/2019,8,19,19,8,17,26
08/22/2019,8,22,19,7,9,14
08/26/2019,8,26,19,9,25,30
08/29/2019,8,29,19,11,24,28
09/02/2019,9,2,19,6,7,22
09/05/2019,9,5,19,5,20,32
09/09/2019,9,9,19,8,9,17
09/12/2019,9,12,19,2,16,29
09/16/2019,9,16,19,11,12,22
09/19/2019,9,19,19,13,21,27
09/23/2019,9,23,19,4,23,25
09/26/2019,9,26,19,4,11,33
09/30/2019,9,30,19,3,14,45
10/03/2019,10,3,19,1,13,42
10/07/2019,10,7,19,13,18,31
10/10/2019,10,10,19,27,30,31
10/14/2019,10,14,19,12,17,19
10/17/2019,10,17,19,8,9,25
10/21/2019,10,21,19,9,14,15
10/24/2019,10,24,19,5,13,24
10/28/2019,10,28,19,11,15,18
10/31/2019,10,31,19,2,31,33
11/04/2019,11,4,19,28,34,42
11/07/2019,11,7,19,1,10,15
11/11/2019,11,11,19,3,5,22
11/14/2019,11,14,19,9,11,21
11/18/2019,11,18,19,15,22,28
11/21/2019,11,21,19,15,17,20
11/25/2019,11,25,19,1,2,3
11/28/2019,11,28,19,3,9,22
12/02/2019,12,2,19,10,31,43
12/05/2019,12,5,19,3,11,16
12/09/2019,12,9,19,1,16,27
12/12/2019,12,12,19,16,17,21
12/16/2019,12,16,19,11,20,21
12/19/2019,12,19,19,6,27,28
12/23/2019,12,23,19,1,6,16
12/26/2019,12,26,19,16,25,29
12/30/2019,12,30,19,4,15,34
01/02/2020,1,2,20,1,3,18
01/06/2020,1,6,20,5,8,15
01/09/2020,1,9,20,1,14,21
01/13/2020,1,13,20,7,16,30
01/16/2020,1,16,20,10,13,15
01/20/2020,1,20,20,4,7,8
01/23/2020,1,23,20,11,25,28
01/27/2020,1,27,20,1,7,17
01/30/2020,1,30,20,4,6,8
02/03/2020,2,3,20,2,9,34
02/06/2020,2,6,20,18,30,31
02/10/2020,2,10,20,3,7,21
02/13/2020,2,13,20,5,14,31
02/17/2020,2,17,20,4,27,29
02/20/2020,2,20,20,24,27,36
02/24/2020,2,24,20,23,27,33
02/27/2020,2,27,20,19,20,32
03/02/2020,3,2,20,6,13,24
03/05/2020,3,5,20,6,8,9
03/09/2020,3,9,20,3,13,16
03/12/2020,3,12,20,1,13,23
03/16/2020,3,16,20,3,7,24
03/19/2020,3,19,20,13,19,24
03/23/2020,3,23,20,1,30,31
03/26/2020,3,26,20,7,8,10
03/30/2020,3,30,20,2,22,29
04/02/2020,4,2,20,2,4,23
04/06/2020,4,6,20,2,25,26
04/09/2020,4,9,20,6,16,23
04/13/2020,4,13,20,1,37,39
04/16/2020,4,16,20,6,8,20
04/20/2020,4,20,20,1,3,6
04/23/2020,4,23,20,5,31,38
04/27/2020,4,27,20,1,5,9
04/30/2020,4,30,20,3,4,11
05/04/2020,5,4,20,15,20,22
05/07/2020,5,7,20,3,8,22
05/11/2020,5,11,20,1,24,28
05/14/2020,5,14,20,20,26,29
05/18/2020,5,18,20,10,27,32
05/21/2020,5,21,20,8,11,24
05/25/2020,5,25,20,4,28,31
05/28/2020,5,28,20,1,13,36
06/01/2020,6,1,20,5,15,30
06/04/2020,6,4,20,9,18,24
06/08/2020,6,8,20,26,29,31
06/11/2020,6,11,20,9,24,25
06/15/2020,6,15,20,25,28,32
06/18/2020,6,18,20,1,6,16
06/22/2020,6,22,20,13,33,34
06/25/2020,6,25,20,1,8,18
06/29/2020,6,29,20,6,12,16
07/02/2020,7,2,20,2,10,15
07/06/2020,7,6,20,2,10,40
07/09/2020,7,9,20,10,24,28
07/13/2020,7,13,20,9,13,34
07/16/2020,7,16,20,5,7,20
07/20/2020,7,20,20,11,15,37
07/23/2020,7,23,20,5,6,23
07/27/2020,7,27,20,6,10,13
07/30/2020,7,30,20,14,15,16
08/03/2020,8,3,20,4,10,20
08/06/2020,8,6,20,14,18,30
08/10/2020,8,10,20,4,5,16
08/13/2020,8,13,20,9,33,34
08/17/2020,8,17,20,5,9,11
08/20/2020,8,20,20,9,11,18
08/24/2020,8,24,20,18,22,25
08/27/2020,8,27,20,7,8,12
08/31/2020,8,31,20,3,9,14
09/03/2020,9,3,20,1,4,13
09/07/2020,9,7,20,4,7,25
09/10/2020,9,10,20,4,13,25
09/14/2020,9,14,20,2,5,25
09/17/2020,9,17,20,5,28,34
09/21/2020,9,21,20,7,28,39
09/24/2020,9,24,20,17,21,30
09/28/2020,9,28,20,9,14,45
10/01/2020,10,1,20,5,8,9
10/05/2020,10,5,20,7,17,29
10/08/2020,10,8,20,28,30,31
10/12/2020,10,12,20,2,11,21
10/15/2020,10,15,20,4,14,27
10/19/2020,10,19,20,11,17,23
10/22/2020,10,22,20,11,24,35
10/26/2020,10,26,20,9,12,20
10/29/2020,10,29,20,2,11,32
11/02/2020,11,2,20,7,24,26
11/05/2020,11,5,20,2,4,8
11/09/2020,11,9,20,22,24,33
