Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint
CVX,250,158.32000732421875,160.48989868164062,158.25,159.8699951171875,2307934.0,1.5563441600429995,50.0,57.7912334484478,77.99326772302584,-0.00020944468100179137,0.3060923793855105,2.7957066127232144,8.265366773257332,1
PFE,250,24.170000076293945,24.18000030517578,24.030000686645508,24.09589958190918,15937316.0,-0.14131612119102632,72.5220171218665,39.3544512835905,46.85705345205246,0.0003871604499855241,0.35571522890420404,0.43928541455949904,-0.40965753304410546,1
MRK,250,79.9000015258789,80.11499786376953,79.33000183105469,79.69819641113281,5055571.0,-0.3274170539487753,0.0,0.0,13.0,-0.003560714650872554,0.41979877750716105,1.4229216848604105,-5.984719837913999,1
UNH,250,350.20001220703125,354.4598999023437,347.8999938964844,352.3900146484375,5248190.0,1.3517823848913535,50.0,50.0,58.333333333333336,0.0063282295239547315,0.38154254436116636,10.94505770988837,-12.591883774446321,1
HD,250,406.7900085449219,410.6199951171875,405.010009765625,409.7900085449219,1266687.0,-0.27256457793820577,0.0,0.0,13.0,-0.0034769252866594822,0.3350678680755462,6.407856532505592,8.103543022276249,1
KO,250,66.40499877929688,66.77529907226562,65.95999908447266,66.52999877929688,6423438.0,-0.2698250751702935,73.5293787656094,53.76342321796271,55.07404267744199,-0.001512251176457724,0.35417309559850757,0.7235973342378321,-1.442812037608332,1
PEP,250,141.82000732421875,142.3300018310547,141.01499938964844,141.68499755859375,2104659.0,-0.15151257726442324,80.1845132618907,66.78394628021604,48.64465125924431,0.0006565736104608311,0.2672478350513265,2.2239270891462053,0.7597705701612112,1
NKE,250,70.66999816894531,71.3499984741211,70.44999694824219,71.33999633789062,4299569.0,0.578029086353915,53.947236332242454,33.89821193615859,61.18839618218649,-0.0026629626116459583,0.35285467882288635,1.5685713631766183,2.8111996008095774,1
DIS,250,112.41000366210938,114.14990234375,112.1999969482422,113.76499938964844,3872086.0,1.3496653805331382,83.01380400157122,36.727257930871204,72.80531084057242,-0.004012653402743882,0.4742364812199482,2.0785658700125578,3.689386692315022,1
V,250,339.1300048828125,339.7200012207031,337.92999267578125,339.215087890625,2075595.0,0.1520743032270344,8.341240659471012,54.188958873656915,42.52776030126469,-0.003977740163408639,0.3694225564997751,6.0414276123046875,-0.5159424072690544,1
MA,250,571.280029296875,571.375,565.2000122070312,567.1799926757812,1059412.0,-0.48949561744489056,0.0,1.689793112069509,9.95694787565078,-0.010682380291885151,0.4176239571049787,11.018205915178571,2.419466759623967,1
CSCO,250,67.69999694824219,67.86499786376953,66.88999938964844,67.21399688720703,6770628.0,-0.48268288999292475,0.0,0.0,9.333333333333334,-0.0014675312513326099,0.37654510852819817,1.152499062674386,6.988919671248417,1
ORCL,250,311.8599853515625,312.4700012207031,300.0299987792969,301.7699890136719,18685127.0,-3.8428442387919204,0.0,54.446549448117224,16.16320929370239,0.0011551032424585328,0.555496877230199,21.721426827566965,59.01486578846833,0
CRM,250,245.6649932861328,248.84120178222656,244.1100006103516,244.7899932861328,3253424.0,0.0940447047085069,4.290964577408943,52.36766158087791,37.70806180224253,0.0021933821531219923,0.31132525438742986,5.830806051055747,-13.28924857284629,1
INTC,250,29.375,30.979999542236328,29.229999542236328,30.596200942993164,79351735.0,4.281529597383016,50.0,50.35929525087895,70.37628230076682,0.046117386938333005,0.7970811256177737,1.3871427263532365,39.889572234351654,0
AMAT,250,199.0800018310547,203.74989318847656,197.3999938964844,201.28509521484372,3449543.0,0.20665112149480525,50.0,50.0,50.666666666666664,0.025141261109954006,0.40943002383619775,5.337849208286831,19.89523802042794,1
ADBE,250,355.1258850097656,355.5249938964844,347.79998779296875,350.4386901855469,3470829.0,-3.1348633512127244,0.0,0.0,1.3333333333333333,-0.006399744666370832,0.6317275599556691,11.352146693638389,-12.11739548442534,1
