n1,n2,n3,n4,n5,n6,draw_date
8,11,12,1,2,10,2012-08-11
8,15,12,10,14,32,2012-08-15
8,18,12,7,17,18,2012-08-18
8,22,12,16,23,26,2012-08-22
8,25,12,4,5,8,2012-08-25
8,29,12,1,3,4,2012-08-29
9,1,12,8,12,18,2012-09-01
9,5,12,6,14,28,2012-09-05
9,8,12,2,7,24,2012-09-08
9,12,12,4,10,25,2012-09-12
9,15,12,5,21,27,2012-09-15
9,19,12,13,18,23,2012-09-19
9,22,12,4,13,16,2012-09-22
9,26,12,17,18,29,2012-09-26
9,29,12,6,13,20,2012-09-29
10,3,12,1,2,3,2012-10-03
10,6,12,25,32,37,2012-10-06
10,10,12,11,15,21,2012-10-10
10,13,12,5,10,12,2012-10-13
10,17,12,5,7,15,2012-10-17
10,20,12,1,9,11,2012-10-20
10,24,12,3,18,26,2012-10-24
10,27,12,4,11,13,2012-10-27
10,31,12,15,16,17,2012-10-31
11,3,12,15,17,20,2012-11-03
11,7,12,1,24,30,2012-11-07
11,10,12,3,5,12,2012-11-10
11,14,12,4,6,13,2012-11-14
11,17,12,9,24,25,2012-11-17
11,21,12,2,7,18,2012-11-21
11,24,12,6,11,29,2012-11-24
11,28,12,4,11,18,2012-11-28
12,1,12,10,16,25,2012-12-01
12,5,12,8,13,17,2012-12-05
12,8,12,5,6,10,2012-12-08
12,12,12,14,17,18,2012-12-12
12,15,12,14,22,23,2012-12-15
12,19,12,8,12,15,2012-12-19
12,22,12,7,8,10,2012-12-22
12,26,12,16,17,28,2012-12-26
12,29,12,14,16,20,2012-12-29
1,2,13,6,7,20,2013-01-02
1,5,13,14,15,18,2013-01-05
1,9,13,10,20,21,2013-01-09
1,12,13,4,5,11,2013-01-12
1,16,13,4,19,20,2013-01-16
1,19,13,8,9,11,2013-01-19
1,23,13,1,3,6,2013-01-23
1,26,13,2,3,7,2013-01-26
1,30,13,3,9,23,2013-01-30
2,2,13,1,7,26,2013-02-02
2,6,13,7,25,32,2013-02-06
2,9,13,6,12,18,2013-02-09
